Milepoint,elevation_feet,DataPoint,Section,State_Prefix,State
698.8,5760,South Fork Kern River,G7,Southern,California
700.4,5916,Stream,G7,Southern,California
701,5980,Closed OHV road,G7,Southern,California
702.8,6020,Bridge near Kennedy Meadows general store,G7,Southern,California
704.6,6080,Cross road to campground,G7,Central,California
705,6120,Cross road again,G7,Central,California
705.2,6150,Kennedy Meadows Campground,G7,Central,California
706.3,6240,Junction leaving Clover Meadow Trail,G8,Central,California
707.1,6300,Steel-girdered wooden bridge,G8,Central,California
709.1,6810,Crag Creek,G8,Central,California
711.6,7560,Junction with the old Clover Meadow Trail,G8,Central,California
712.7,8060,T junction with Haiwee Trail 37EO1,G8,Central,California
713.1,7953,Beck Meadows Trail 35EO1,G8,Central,California
715.3,8390,Deer Mountains northern ridge,G9,Central,California
716.3,7940,Low broad ridge,G9,Central,California
716.7,7820,South Fork Kern River bridge in Monache Mdws.,G9,Central,California
716.8,7840,Southeast-heading trail to Kennedy Meadows,G9,Central,California
716.9,7840,Right turn at a junction,G9,Central,California
718.1,8050,Low ridge,G9,Central,California
719.4,8260,Cow Creek,G10,Central,California
720.6,8920,Olancha Pass Trail,G10,Central,California
721.1,9090,Trail Junction after Cow Creek,G10,Central,California
721.3,9240,North to a lateral,G10,Central,California
724.7,10540,After Monache Creek bowl levels off on a saddle,G10,Central,California
728.4,9030,Cross a year-round creek,G11,Central,California
729.1,9010,Meadowside trail at a causeway abutment,G11,Central,California
730.8,8940,Ford a step-across all-year Death Canyon Creek,G11,Central,California
734.5,10390,Crestline saddle,G11,Central,California
736,10425,Junction with a faint half-mile lateral to a spring,G11,Central,California
737.6,10260,Second saddle with path signed CORRAL,G12,Central,California
739.4,10000,Descent northwest to an obscure path,G12,Central,California
741.2,9670,Sierra crest at a low saddle to Diaz Creek,G12,Central,California
742.5,9960,CORRAL junction sign,G12,Central,California
744,10380,Mulkey Pass,G12,Central,California
744.8,10500,Junction with Trail Pass Trail,G12,Central,California
746.1,10740,Path to Poison Meadow,G13,Central,California
746.7,10740,Intersect the crest at a saddle,G13,Central,California
749.6,11160,Cottonwood Pass,G13,Central,California
750.2,11235,Chicken Spring Lake outlet,G13,Central,California
752.7,11320,Seasonal creek,G14,Central,California
753.3,11320,Sequoia National Park border,G14,Central,California
754.2,11139,Siberian PassRock Creek Trail,G14,Central,California
759.1,9959,Down to a junction with Rock Creek Trail,G14,Central,California
759.4,9840,Cross a brook,G14,Central,California
760.3,9550,Rock Creek crossing,G15,Central,California
761.8,10320,Guyot Creek,G15,Central,California
762.8,10920,Pass northeast of Mt Guyot,G15,Central,California
766.3,10329,Crabtree Meadow with lateral to Mt. Whitney,G15,Central,California
767.1,10870,Path north-northwest to a signed junction with JMT to Mt. Whitney,G15,Central,California
768.8,10964,Sandy Meadow to a high saddle,H2,Central,California
770.4,10390,Wallace Creek and High Sierra Trail junction,H2,Central,California
771.5,10790,Ford of Wright Creek,H2,Central,California
775,10930,Shepherd Pass Trail,H2,Central,California
775.7,11160,Lake South America Trail,H2,Central,California
780,13180,Forester Pass,H3,Central,California
784.5,10500,Center Basin trail,H3,Central,California
787.3,9600,Vidette Meadow,H4,Central,California
788,9550,Junction up Bubbs Creek Canyon,H4,Central,California
789.5,10530,Bullfrog Lake junction,H4,Central,California
790.2,10710,Kearsarge Pass trails,H4,Central,California
792.5,11978,Glen Pass,H4,Central,California
794.5,10550,Sixty Lakes Trail Junction,H4,Central,California
794.9,10560,Dragon Lake Trail Junction,H4,Central,California
795.1,10600,Rae Lakes Ranger Station Junction,H4,Central,California
796.7,10300,Arrowhead Lake,H4,Central,California
797.1,10230,Dollar Lake (unsigned Baxter Pass Trail),H4,Central,California
800.8,8492,Woods Creek,H5,Central,California
804.2,10370,Sawmill Pass Trail,H5,Central,California
807.9,12130,Pinchot Pass,H5,Central,California
809.6,11160,Lake Marjorie,H6,Central,California
810.9,10750,Taboose Pass Trail,H6,Central,California
812.2,10050,South Fork Kings River Trail,H6,Central,California
814.4,10840,South Fork Kings River ford,H6,Central,California
817.4,12100,Mather Pass,H7,Central,California
819.9,11000,Upper Palisade Lake,H7,Central,California
820.9,10600,Lower Palisade Lake,H7,Central,California
823.9,8860,Deer Meadow,H8,Central,California
827.6,8020,Middle Fork Kings River,H9,Central,California
830.9,8710,Bishop Pass Trail,H9,Central,California
836.6,11595,Helen Lake,H10,Central,California
837.9,11955,Muir Pass,H10,Central,California
840.1,11400,Evolution Creek,H10,Central,California
842.5,10850,Evolution Lake Inlet,H10,Central,California
847.4,9650,McClure Meadow,H11,Central,California
849.9,9210,Evolution Creek crossing,H12,Central,California
850.9,8470,South Fork San Joaquin River,H12,Central,California
854.4,8050,Piute Pass Trail,H12,Central,California
856.2,7890,Florence Lake Trail,H13,Central,California
857.9,8400,Florence Lake Trail #2,H13,Central,California
860.1,9740,Senger Creek,H13,Central,California
861.8,10140,Unmaintained trail to South Fork of San Joaquin River,H13,Central,California
862.4,10200,Sally Keyes Lakes,H13,Central,California
863.2,10550,Heart Lake,H14,Central,California
863.9,10900,Selden Pass,H14,Central,California
864.8,10570,Marie Lake outlet,H14,Central,California
866.4,10010,Rosemarie Meadow,H14,Central,California
867.8,9530,Trail Junction up Fast Fork Bear Creek,H14,Central,California
869,9300,Lake Italy Trail,H14,Central,California
871,9040,Old trail below Hilgard Creek,H14,Central,California
872.6,9980,Bear Ridge trail junction to Mono Hot Springs,H15,Central,California
877.2,7850,Mono Creek,H15,Central,California
878.8,8270,Junction with Mono Pass Trail,H15,Central,California
880.2,8940,North Fork Mono Creek,H15,Central,California
881.4,9640,Re-ford North Fork Mono Creek,H15,Central,California
884.2,10900,Silver Pass,H15,Central,California
885.4,10550,Goodale Pass Trail,H16,Central,California
887.9,9130,Cascade Valley Trail,H16,Central,California
889,9520,Tully Hole,H16,Central,California
890.9,10314,Lake Virginia,H16,Central,California
893,9900,Purple Lake,H16,Central,California
895.3,10150,Trail to Duck Lake,H16,Central,California
900.8,9090,Deer Creek,H17,Central,California
902.8,8920,Upper Crater Meadow,H18,Central,California
903.6,8660,Last campsite before Reds Meadow,H18,Central,California
905.9,7910,Boundary Creek,H18,Central,California
906.6,7700,Reds Meadow few supplies,H18,Central,California
906.8,7600,Reds Meadow Rainbow Falls-Fish Valley-Cascade Valley Trail,H18,Central,California
907.3,7430,Trail junction by east boundary of Devils Postpile NM,H 1,Central,California
908.3,7710,Old trans-Sierra Mammoth Trail,H18,Central,California
908.9,7660,JMT and PCT diverge,H18,Central,California
909.5,7590,Minaret Creek,H18,Central,California
910.9,7680,Bridge across Middle Fork,H18,Central,California
911.9,7810,Permanent stream along Middle Fork,H19,Central,California
913,7910,Another stream,H19,Central,California
913.2,8000,Junction after a small knoll,H19,Central,California
913.7,8280,River Trail,H19,Central,California
914.6,8360,Agnew Meadows road,H19,Central,California
917.4,9680,Ansel Adams Wilderness border,H19,Central,California
919.8,9710,Junction with trail over Agnew Pass,H19,Central,California
920.6,9500,Middle Fork-Clark Lakes Trail,H20,Central,California
920.9,9590,De facto trial pass a lakelet,H20,Central,California
921.4,9560,River Trail,H20,Central,California
922.4,9840,Thousand Island Lake,H20,Central,California
924.2,10200,Island Pass,H20,Central,California
925.2,9690,Obscure junction to Davis Lake,H20,Central,California
925.6,9600,Rush Creek Trail,H20,Central,California
926.4,10030,Marie Lakes Trail,H21,Central,California
929,11056,Donohue Pass,H22,Central,California
930.8,10220,Lyell Fork crossing,H22,Central,California
931.6,9700,Another Lyell Fork crossing,H22,Central,California
933,9000,Lyell Fork base camp,H22,Central,California
935.8,8880,junction to Vogelsang High Sierra Camp,H22,Central,California
940.2,8710,Rafferty Creek Trail,H23,Central,California
940.9,8650,Junction to Tuolumne Meadows Campground,H23,Central,California
941.6,8690,Dana Fork of the Tuolumne River,H23,Central,California
941.9,8650,Tuolumne Lodges road,H23,Central,California
942.7,8595,Highway 120,H23,Central,California
943.4,8590,Fork just beyond a minor gap,I1,Central,California
943.5,8600,Soda Springs area,I1,Central,California
944.3,8570,Delaney Creek,I1,Central,California
944.7,8650,Young Lakes Trail,I1,Central,California
947.4,8310,Bridge over Tuolemne River,I2,Central,California
948.5,7920,Junction to McGee Lake,I2,Central,California
948.7,7840,Glen Aulin next to Conness Creek,I2,Central,California
951.6,8800,Forested gap along Cold Canyon creek,I3,Central,California
955.5,9080,McCabe Lakes Trail,I3,Central,California
956.7,8540,Virginia Canyon Trail,I3,Central,California
958.9,9560,Forested pass,I3,Central,California
960.3,9490,Miller Lake,I3,Central,California
960.9,9680,Low gap,I3,Central,California
962.5,8510,Matterhorn Canyon Trail,I3,Central,California
965.8,9500,Wilson Creek last ford,I4,Central,California
967,10140,Benson Pass,I4,Central,California
968.9,9250,South shore on Smedberg Lake,I4,Central,California
969.2,9340,Well-defined gap,I4,Central,California
969.9,9480,Meadowy junction to Rodgers Lake,I4,Central,California
970.2,9390,Junction to Murdock La ke,I5,Central,California
971,8720,Ford of Smedberg Lakes outlet,I5,Central,California
973.1,7560,Benson Lake Trail Junction,I5,Central,California
975.2,8970,wind-free sparkling pond,I5,Central,California
975.8,9150,Seavey Pass,I5,Central,California
976,9180,Highest gap,I5,Central,California
976.5,8930,Junction in Kerrick Canyon,I5,Central,California
980.2,7960,Lower Kerrick Canyon Bear Valley Trail junction,I6,Central,California
981.6,8720,North to a shallow gap,I6,Central,California
982.7,7740,Stubblefield Canyon creek,I6,Central,California
985.1,8910,Macomb Ridge pass,I7,Central,California
986.1,8390,Tilden Lake Trail signed junction,I7,Central,California
987.6,7930,Wilma Lake or Wilmer Lake,I7,Central,California
987.9,7970,Junction with Jack Main Canyon Trail,I7,Central,California
989.8,8160,Junction east to Tilden Lake,I8,Central,California
993.5,8630,South end of Grace Meadow,I8,Central,California
996.6,9280,First trail to Bond Pass,I9,Central,California
998.1,9155,Dorothy Lake Pass,I9,Central,California
999.2,9210,Lake Harriet,I9,Central,California
999.9,9040,Cascade Creek footbridge,I9,Central,California
1000.5,9000,Junction to West Walker River trail,I9,Central,California
1001.4,9320,Junction just past a creek after three ponds,I9,Central,California
1003.4,8670,West Fork West Walker River Trail,I9,Central,California
1003.6,8610,West Fork West Walker River bridge junction by Lower Long Lake,I9,Central,California
1005.2,8610,Another creek,I9,Central,California
1007,9060,Kennedy Canyon creek,I10,Central,California
1008.2,9670,Closed jeep road,I10,Central,California
1010.2,10580,Leave jeep road at a switchback,I10,Central,California
1012.5,10640,Sierra crest,I10,Central,California
1013.2,10880,Ridge highest point after Donohue Pass,I10,Central,California
1013.9,10780,Notch on a steep wall,I10,Central,California
1014.7,10780,Another crest crossing,I10,Central,California
1015.9,10870,Another crest crossing,I10,Central,California
1017.6,9820,First creek since Kennedy Canyon,I10,Central,California
1018.3,9620,Sonora Pass (Highway 108),I10,Central,California
1018.5,9610,Trailhead-parking spur,J1,Central,California
1020.2,10080,Start switchback,J1,Central,California
1020.9,10420,County-line ridge,J1,Central,California
1021.2,10500,Top the Sierra crest at a saddle,J1,Central,California
1022.4,10250,Junction atop Wolf Creek Lake saddle to Wolf Creek Lake,J1,Central,California
1027.6,8100,East Carson River Trail descend to a small flat,J2,Central,California
1030.7,8590,Prominent crest saddle junction to Boulder Lake,J2,Central,California
1032.3,8600,Boulder Creek,J2,Central,California
1034.6,9170,Descend to a saddle by Golden Lake,J3,Central,California
1035.8,9170,Junction with Paradise Valley and Golden Canyon Trails,J3,Central,California
1036.5,9340,Saddle with view of Peak 9500,J3,Central,California
1038,9080,Another saddle after Murray Canyon,J3,Central,California
1040,8320,Fast Fork of Wolf Creek,J3,Central,California
1040.4,8310,Middle Fork of Wolf Creek,J3,Central,California
1040.9,8400,Mult-branched Nest Fork,J3,Central,California
1041.7,8800,Sierra Nevada Crest,J3,Central,California
1042.7,8410,Wolf Creek Pass,J3,Central,California
1043,8480,Junction by a gully to Asa Lake,J3,Central,California
1043.2,8520,Asa Lakes outlet creek,J3,Central,California
1044.9,9330,Saddle,J4,Central,California
1045.5,9110,Junction with Noble Canyon Trail,J4,Central,California
1046.1,8900,Noble Lake outlet creek,J4,Central,California
1047,8360,Junction with northern part of Noble Canyon Trail,J4,Central,California
1049.9,8700,Highway 4 near Ebbetts Pass,J4,Central,California
1050.5,8760,Sherrold Lake,J4,Central,California
1053.9,8640,Raymond Meadows Creek,J5,Central,California
1055,8460,Eagle Creek,J5,Central,California
1056.3,8510,Deep crest saddle,J5,Central,California
1056.9,8140,Pennsylvania Creek,J5,Central,California
1057.9,8660,Sagebrush saddle,J5,Central,California
1059.4,8640,Side Trail to Raymond Lake,J5,Central,California
1060.4,8150,Raymond Lake creek,J5,Central,California
1061.2,8230,Conspicuous saddle,J5,Central,California
1061.8,7820,Pleasant Valley Trail 008,J5,Central,California
1062.2,7860,Tributary of Pleasant Valley Creek,J5,Central,California
1062.7,8200,Saddle leaving the eastern part of Mokelumne Wilderness,J5,Central,California
1062.8,8160,Spur trail to Net Meadows Trailhead,J5,Central,California
1064.3,7900,Beach a road,J5,Central,California
1064.9,7840,Car-camping site,J5,Central,California
1067.6,8090,Blue Lakes Road,J6,Central,California
1070,8830,Saddle southeast of The Nipple,J6,Central,California
1071.8,8660,Lost Lakes spur road,J6,Central,California
1073.4,8830,Muddy pond,J6,Central,California
1073.6,8880,Summit City Canyon Trail 18EO7,J7,Central,California
1074.4,8630,Circles a third tiny pond,J7,Central,California
1077.5,8860,Rejoin TYT near Frog Lake junction to Winnemucca Lake,J7,Central,California
1077.6,8870,Junction south of Frog Lake,J7,Central,California
1078.7,8580,Highway 88 south end of a long parking lot with Carson Pass markers,J8,Central,California
1078.9,8550,Flat parking area,J8,Central,California
1080.3,8800,Pond-blessed saddle,J8,Central,California
1081.1,8460,Campsite by infant Upper Truckee River,J8,Central,California
1081.8,8380,Branch right after two cabins,J8,Central,California
1082.4,8310,Upper Truckee R iver,J8,Central,California
1083.9,8650,Second trail from Schneider Camp,J8,Central,California
1084,8620,Showers Lake,J8,Central,California
1085.9,8960,Junction with Trail 17El6,J9,Central,California
1086.1,8890,Shallow gap,J9,Central,California
1087.5,8630,Saddle Junction with Sayles Canyon Trail 117E1 4,J9,Central,California
1088.4,8540,Bryan Meadow,J9,Central,California
1089.5,8340,Second creek crossing by Benwood Meadow,J9,Central,California
1091.3,7475,Junction after Benwood Meadow to alternate route to Echo Lake Resort,J9,Central,California
1092.3,7390,Road 1 N03,J9,Central,California
1093,7220,Highway 50 (South Lake Tahoe),J9,Central,California
1094.3,7525,Echo Lake Resort,J9,Central,California
1094.5,7414,Lower Echo Lake,J9,Central,California
1097.6,7700,Junction to a saddle and Triangle Lake,K2,Central,California
1098.1,7865,Another trail junction,K2,Central,California
1098.8,8250,Lateral trail above Triangle Lake,K2,Central,California
1099.3,8350,North-facing-slope junction with second trail to Lake of the Woods,K2,Central,California
1099.8,8340,Past a trail above Lake Margery,K2,Central,California
1100,8310,Past a trail going to Lake Margery,K2,Central,California
1100.6,8140,Junction above Lake Aloha,K2,Central,California
1101.1,8190,Reach a gully,K2,Central,California
1102,8120,Junction with Rubicon River Trail,K2,Central,California
1102.7,7900,Heather Lakes northwest shore,K2,Central,California
1103.8,7790,Cross Susie Lake outlet creek,K2,Central,California
1104.4,7680,Swampy meadow where the trail forks,K2,Central,California
1104.9,7940,Intersection down to Fallen Leaf area,K2,Central,California
1105.5,8290,Junction with Trail I 7EO9 to Gilmore Lake,K2,Central,California
1107.8,9380,Dicks Pass,K2,Central,California
1109.5,8500,Descend to a rocky saddle reach a junction to Eagle Falls Picnic Area,K2,Central,California
1109.7,8450,Reach a spur trail to Dicks Lake,K2,Central,California
1111.6,7965,Trail junction above Middle Velma Lake,K3,Central,California
1111.9,7940,Trail descending west to Camper Flat,K3,Central,California
1113,8090,Junction where PCT and TYT splits,K3,Central,California
1114.5,7620,Seasonal Phipps Creek,K3,Central,California
1116.5,8120,High point,K3,Central,California
1117.4,7880,Junction to Lake Genevieve,K4,Central,California
1120.1,7570,Jeep road atop a forested saddle,K4,Central,California
1120.6,7400,Richardson Lakes northwest corner,K4,Central,California
1122.3,7020,Lightly used road by Miller Creek,K4,Central,California
1122.5,7000,McKinney-Rubicon Springs Road,K4,Central,California
1124.4,7120,Bear lake road,K5,Central,California
1126.8,7650,Forest Route 3 near Barker Pass,K5,Central,California
1128.4,8240,Saddle after a spring-fed gully,K5,Central,California
1129.2,7960,North Fork Blackwood Creek campsites,K5,Central,California
1131.6,8370,Low knoll with excellent views,K5,Central,California
1131.8,8430,PCT and Tahoe Rini Trail split,K5,Central,California
1135.1,8470,Ward Peak maintenance road,K6,Central,California
1138.2,7430,Five Lakes Creek Trail 16E04,K6,Central,California
1139.6,7170,Whiskey Creek Trail 16E06,K6,Central,California
1141.7,7915,Tevis Cup Trail,K6,Central,California
1142.3,8140,Headwaters of Middle Fork American River,K7,Central,California
1143,8550,Minor gap just outside of Granite Chief Wilderness,K7,Central,California
1143.4,8270,Squaw Creek,K7,Central,California
1144.5,8170,Granite Chief Trail I5E23 to Squaw Valley,K7,Central,California
1146,7550,Fainted Bock Trail 15EO6,K7,Central,California
1148.2,8590,Tinker Knob saddle,K7,Central,California
1148.5,8760,Sierra crest,K7,Central,California
1150.3,8230,Saddle north of Anderson Peak,K8,Central,California
1150.8,8170,Round Peak 8374 to a shallower saddle,K8,Central,California
1153.6,7900,Roller Pass,K8,Central,California
1153.7,7870,South end of Mt. Judah Loop,K8,Central,California
1154.4,7520,Cross one-lane road,K8,Central,California
1154.6,7560,North end of Mt. Judah Loop,K8,Central,California
1155.6,7060,Road Junction to Lake Mary homesites,K8,Central,California
1155.8,7090,Old Highway 40 near Donner Pass,K8,Central,California
1158.8,7190,Parking junction one-quarter mile south of Interstate 80,K8,Central,California
1159.7,7230,Junction by a lakelets west shore,L1,Central,California
1160.7,7440,Northwest to a road,L1,Central,California
1162.1,7910,Castle Pass,L1,Central,California
1163,7820,Peter Grubb Hut,L1,Central,California
1165.2,8270,Old jeep road,L2,Central,California
1167.1,7580,Magonigal Camp jeep road,L2,Central,California
1168.2,8120,Reach a knoll,L2,Central,California
1169.3,7620,Mt. Lola Trail Junction,L2,Central,California
1169.4,7630,White Bock Creek,L2,Central,California
1170.1,7760,Road 19N 11 A,L2,Central,California
1170.9,8140,Saddle over Jackson Meadow Reservoir,L2,Central,California
1171.6,8060,Cross a road on viewless saddle,L3,Central,California
1172.6,7830,Ridge saddle at the head of Bear Valley,L3,Central,California
1174.7,7530,Tahoe N.F Road 86 Meadow Lake Road 19N 11,L3,Central,California
1175.8,8000,Climbs to a ridge,L3,Central,California
1177.9,7640,Logging road,L3,Central,California
1181.5,7330,Descend to a creek,L3,Central,California
1181.9,7135,Minor saddle,L4,Central,California
1184.2,6740,Cross another good road,L4,Central,California
1185.9,6170,Junction southeast of Pass Creek Loop Road,L5,Central,California
1186.3,6200,Tahoe N. F Road 07 near Jackson Meadow Reservoir,L5,Central,California
1187.1,6450,Minor saddle,L5,Central,California
1192.6,5240,First (southern) Milton Creek crossing,L5,Central,California
1193.4,4990,Bridge over Milton Creek,L5,Central,California
1194.6,4810,Northward down to closed road to Wild Plum Campground,L6,Central,California
1194.9,4720,Bridge over Haypress Creek,L6,Central,California
1195.3,4800,1001 Mine Creek,L6,Central,California
1197.2,4600,Bridge over North Yuba River,L6,Central,California
1197.6,4570,Highway 49 near Sierra City,L6,Central,California
1200.3,5720,Switchback up to a flume,M1,Central,California
1201,6070,Switchback tops off on a ridge,M1,Central,California
1204.8,7150,Sierra Buttes Jeep trail,M1,Central,California
1205.9,7350,Ridgecrest trail junction,M1,Central,California
1206.8,7010,Down to a gap on a jeep road,M1,Central,California
1207.4,7020,Packer Lake saddle,M1,Central,California
1210.2,7430,Jeep road to Deer Lake,M2,Central,California
1210.5,7370,Junction to Trail I 2EO2,M2,Central,California
1211.8,7050,Summit Lake Road Junction,M2,Central,California
1213.1,7290,Jeep road cuts northeast across the crest,M2,Central,California
1214,7355,Beach a junction to Oakland Pond,M2,Central,California
1216.3,7050,County-line crest saddle with a diminutive pond,M2,Central,California
1217.6,7330,Cross a Jeep road twice almost touching it,M3,Central,California
1219.4,6630,Down to a saddle,M3,Central,California
1219.9,6550,The A Tree focal point for five roads,M3,Central,California
1221,6920,Rise to a saddle after diverging from Cowell Mine Road,M3,Central,California
1221.8,7380,Saddle south end of McRae Ridge,M3,Central,California
1225,6150,Descend to a spot near some campsites,M3,Central,California
1226.3,5790,Leave Section 30 and West Branch Nelson Creek,M4,Central,California
1227.5,6065,Johnsville-Gibsonville Road,M4,Central,California
1230.5,6750,South end of Bunker Hill Ridge,M4,Central,California
1232,6810,Small unnamed lake just west of the trail to Bunker Hill Ridge,M4,Central,California
1232.7,6700,Second saddle next to seasonal spring,M4,Central,California
1234.6,6680,Forested slopes to a road,M5,Central,California
1235.6,6474,Quincy-LaPorte Road continue on a level Spur road out to a saddle,M5,Central,California
1236.5,6510,Cross Road 22N60 at a saddle,M5,Central,California
1238.4,5900,recross Road 22N60 at another saddle,M5,Central,California
1239.8,5755,Cross Bear Wallow Trail at a jeep road,M6,Central,California
1240.8,6000,Chimney Rock,M6,Central,California
1242.9,5460,Black Rock Creek Road 22N56 at a saddle,M6,Central,California
1244.1,5500,Junction to Fowler Lake,M6,Central,California
1244.4,5280,Reach a second road,M6,Central,California
1245.4,5060,Sawmill Tom Creek Road 23N65Y,M6,Central,California
1247.2,4910,Almost touch the road at saddle,M7,Central,California
1248.8,4240,Cross road known as Dogwood Creek Road Butte Road and Road 23N29X,M7,Central,California
1251.1,3180,Switchback to a delicious spring,M7,Central,California
1251.5,2900,Middle Fork Feather River,M7,Central,California
1252.9,3590,Deadman Spring saddle,M7,Central,California
1255,3240,Bear Creek,M7,Central,California
1257.5,4250,Switchback to another ridge,M7,Central,California
1259.8,5350,Seasonal spring,M8,Central,California
1261.2,5750,Sunny crest saddle,M8,Central,California
1261.5,5870,Seasonal Spring just before Lookout Tower,M8,Central,California
1261.8,5955,Lookout Rock,M8,Central,California
1262.5,5870,Road 23Nl9,M8,Central,California
1263.8,5880,Road branching north,M9,Central,California
1265.4,5505,Big Creek Road 33N56,M9,Central,California
1267.8,5520,Final water supply a creeklet,M9,Central,California
1270.2,5531,Bucks Summit,M9,Central,California
1272.8,6550,Path on a shady left where road turns counterclockwise,M10,Central,California
1274.4,6920,Shallow saddle meet Spanish Peak road again,M10,Central,California
1275.8,6870,Trail Junction to Gold Lake Trail,M10,Central,California
1277,6880,Cross a jeep road,M10,Central,California
1278,6710,Descend to a forested saddle,M10,Central,California
1280.2,6190,Clear Creek,M11,Central,California
1280.7,6240,Old California Riding and Hiking Trail by a pond,M11,Central,California
1281.7,6270,Junction with CRHT that descends to Three Lakes,M11,Central,California
1282.1,6260,Shady bend on an old fire road,M11,Central,California
1283.9,5900,Road dead-ends where Belden Trail of PCT begins,M11,Central,California
1288.6,2310,Western Pacifics two railroad tracks,M11,Central,California
1289.2,2310,Belden Town,M11,Central,California
1289.3,2330,Highway 70 at Belden Town bridge,M11,Central,California
1290.4,2370,Bridge over Indian Creek,N1,Northern,California
1290.7,2400,Meet a trail after turning west,N1,Northern,California
1291.3,2470,Junction to an old road,N1,Northern,California
1295.5,3700,Williams Cabin Flat small cabin on a white-fir-shaded flat,N1,Northern,California
1296.4,4180,Myrtle Flat Camp,N2,Northern,California
1300.2,5650,Creek fed by Poison Spring,N3,Northern,California
1300.6,5920,Junction with an old road,N3,Northern,California
1301.1,6100,Leave old road forking right,N3,Northern,California
1302.3,6680,Vicinity of Poison Spring headwater,N3,Northern,California
1302.7,6900,Wide lumber road,N3,Northern,California
1303.7,6960,Spring,N3,Northern,California
1305.2,6620,Spur ridge to a roadend,N3,Northern,California
1305.9,6610,Another PCT trail segment,N4,Northern,California
1306.9,6380,Road 26NO2,N4,Northern,California
1308.6,6450,Humbug Road 27NO1 at Cold Springs,N4,Northern,California
1309.3,6710,Past second road,N4,Northern,California
1310.9,7100,Pond west of the trail,N4,Northern,California
1311.8,7000,North end to a jeep road that levels east to Lost Lake,N4,Northern,California
1315.4,6610,Humboldt Road at Humboldt Summit,N5,Northern,California
1319.3,6155,Descend lowest saddle,N5,Northern,California
1321.6,6600,Carter Meadow Trail Junction,N5,Northern,California
1325.3,7590,Junction to Butt Mountain summit,N5,Northern,California
1327.9,6920,Shallow gully,N6,Northern,California
1332.1,5480,Recross Soldier Creek springs,N7,Northern,California
1333.6,5150,Road after private property,N7,Northern,California
1334.3,4870,Grassy trough,N7,Northern,California
1335.8,4990,Highway 36,N7,Northern,California
1337.4,5060,Marian Creek dry most of summer,N7,Northern,California
1339,5660,Stover Camp spring,N7,Northern,California
1340.1,5810,Cross a major road,N7,Northern,California
1341.5,5920,County-line crest,N7,Northern,California
1342.2,6050,North Stover Mountain,N7,Northern,California
1343.8,5400,Major logging road on a ridge,N8,Northern,California
1344.8,5020,Bridge over North Fork Feather River,N8,Northern,California
1345.7,5110,Chester-Childs Meadows Road,N8,Northern,California
1349.8,5960,Descent northwest to an abandoned road,N8,Northern,California
1350.5,6100,Swampy Little Willow Lake,N8,Northern,California
1351.5,6030,Junction to Terminal Geyser,N8,Northern,California
1353.3,5800,horse trail,N9,Northern,California
1354.2,5670,Warner Valley Campground,N9,Northern,California
1355.2,6180,Junction to Bench Lake,N9,Northern,California
1356.6,5990,Campsites junction to Summit Lake,N9,Northern,California
1359.1,6470,Junction to Horseshoe Lake,N9,Northern,California
1360.4,6710,Second junction that meets the first junction to Horseshoe Lake,N9,Northern,California
1360.9,6620,Swan Lake outlet creek,N9,Northern,California
1361.4,6540,Lower Twin Lake south end,N10,Northern,California
1361.8,6545,Lower Twin Lake north end,N10,Northern,California
1362.2,6520,Trail descending left,N10,Northern,California
1364.8,6354,Nobles Trail,N10,Northern,California
1365.8,6320,Opening with view of Soap Lake,N10,Northern,California
1367.4,6270,East end of Badger Flat,N10,Northern,California
1369.5,6200,Junction to a horse camp parks north boundary,N11,Northern,California
1371,5560,Plantation Loop Road,N11,Northern,California
1372.7,5090,East-west road,N11,Northern,California
1373.4,4980,Western arm of the Plantation Loop Road,N12,Northern,California
1374.4,4830,Road 32Nl 2,N12,Northern,California
1375.8,4690,Cross a road,N12,Northern,California
1376.7,4720,Atop a faulted escarpment,N12,Northern,California
1377.5,4590,North-trending road,N12,Northern,California
1377.7,4580,Gate across the road to Hat Creek Resort,N12,Northern,California
1378.2,4545,Road 32N20,N13,Northern,California
1378.9,4480,Road 32N99,N13,Northern,California
1379.2,4540,Another crossing of Road 32N99,N13,Northern,California
1379.6,4500,Trail fork to Hat Creek Campground,N13,Northern,California
1380.9,4590,Road 33N22,N13,Northern,California
1381.8,4365,Cross Highway 44 near Subway Cave,N13,Northern,California
1383.2,4360,Old Highway 44,N13,Northern,California
1384.7,4870,Highway 44 trailhead,N13,Northern,California
1386.5,4640,Cross usually dry creek gully,N13,Northern,California
1387.4,4600,Another dry-creek gully,N14,Northern,California
1389,4820,Shallow depression,N14,Northern,California
1391.1,4810,Another dry-creek gully,N14,Northern,California
1395.8,5122,Hat Creek Rim Fire Lookout site,N14,Northern,California
1398.6,4660,Road 22,N15,Northern,California
1400.5,4140,Down to small reservoir polluted,N15,Northern,California
1403.6,4030,Closed gate below Road36Nl8,N16,Northern,California
1407.4,3480,Cross Cassel-Fall River Mills Road,N17,Northern,California
1409.5,3270,Cross Conrad Ranch road,N17,Northern,California
1411.2,3025,Road above Rock Spring Creek,N18,Northern,California
1411.7,2990,PG&amp;E road south to Cassel,N18,Northern,California
1411.8,3000,Crystal Lake State Fish Hatchery road,NI8,Northern,California
1413.3,3150,Cross a jeep road,N18,Northern,California
1415.1,3240,Another jeep road,N18,Northern,California
1415.9,3110,Highway 299,N18,Northern,California
